Variedade,Cultura,Populacao_Alvo_ha,Espacamento_Linhas_cm,Sementes_por_Metro,Distancia_entre_Sementes_cm,Profundidade_Ideal_cm,Velocidade_Max_kmh,Expectativa_Prod_sc_ha,Expectativa_Prod_sc_Alq
TBIO TORUK,Trigo,3300000,17.0,56.1,1.78,2.5,7.0,65,157.3
TBIO AUDÁZ,Trigo,3500000,17.0,59.5,1.68,2.5,7.0,65,157.3
ORS CITRINEL,Trigo,3200000,17.0,54.4,1.84,2.5,7.0,65,157.3
TBIO PONTEIRO,Trigo,3600000,17.0,61.2,1.63,2.5,7.0,65,157.3
BRS BELAQUARTA,Trigo,3400000,17.0,57.8,1.73,2.5,7.0,65,157.3
ORS DESTAK,Trigo,3500000,17.0,59.5,1.68,2.5,7.0,65,157.3
