Variedade,Cultura,Populacao_Alvo_ha,Espacamento_Linhas_cm,Sementes_por_Metro,Distancia_entre_Sementes_cm,Profundidade_Ideal_cm,Velocidade_Max_kmh,Expectativa_Prod_sc_ha,Expectativa_Prod_sc_Alq
BMX POTÊNCIA,Soja,280000,45.0,12.6,7.9,3.5,6.0,75,181.5
BMX LANÇA,Soja,300000,45.0,13.5,7.4,3.5,6.0,75,181.5
TMG 2381,Soja,320000,45.0,14.4,6.9,3.5,6.0,75,181.5
MONSOY 6210,Soja,290000,45.0,13.0,7.7,3.5,6.0,75,181.5
BRASMAX FIBRA,Soja,310000,45.0,13.9,7.2,3.5,6.0,75,181.5
M6410,Soja,295000,45.0,13.3,7.5,3.5,6.0,75,181.5
BMX COMPACTA,Soja,330000,45.0,14.8,6.7,3.5,6.0,75,181.5
TMG 2776,Soja,340000,45.0,15.3,6.5,3.5,6.0,75,181.5
